Hole_Id,lat,lon,elevation (m),Depth (m),no_of_litho
EST-063,10.57836111,8.984805556,831,1.7,4
EST-064,10.57869444,8.984666667,832,0,3
EST-065,10.579,8.98475,834,2,3
EST-066,10.58022222,8.984833333,850,0,3
EST-067,10.58058333,8.98475,826,1.9,3
EST-068,10.58086111,8.984722222,832,0,4
EST-069,10.58116667,8.984722222,827,1,4
EST-070,10.5815,8.984833333,828,1,4
EST-071,10.58169444,8.985138889,823,1,4
EST-072,10.58186111,8.985361111,830,1,4
EST-072,10.587,8.987611111,814,1.6,4
EST-073,10.58752778,8.987805556,816,2.3,4
EST-074,10.58783333,8.9875,816,1.9,Incomplete
EST-075,10.58830556,8.987638889,816,2.6,0
EST-076,10.58908333,8.987388889,815,0,2
EST-077,10.58952778,8.987916667,814,1.07,4
EST-078,10.58958333,8.987694444,816,2.3,4
EST-079,10.59044444,8.988527778,814,2.6,4
EST-080,10.59019444,8.988638889,815,2.3,4
EST-081,10.59072222,8.988777778,812,2.5,4
EST-082,10.59016667,8.989194444,815,2.8,4
EST-083,10.59052778,8.989555556,815,2.3,4
EST-084,10.59125,8.990083333,814,2.3,4
EST-085,10.576,8.985722222,839,2.8,4
EST-086,10.58191667,8.985805556,823,2.7,4
EST-087,10.59097222,8.989888889,815,2.8,4
BGS-001,10.60763889,8.992666667,812,2.7,0
BGS-002,10.60830556,8.996722222,808,2.5,0
BGS-003,10.6135,9.007,796,1.5,3
BGS-004,10.61236111,9.007861111,804,1.5,3
BGS-005,10.61161111,9.008916667,796,1.5,3
BGS-006,10.61255556,9.009416667,797,1.3,3
BGS-007,10.61347222,9.009722222,799,1.9,3
BGS-008,10.614,9.010805556,795,2.5,4
BGS-009,10.61508333,9.011083333,797,2.6,4
BGS-010,10.61625,9.011972222,793,2.2,4
BGS-011,10.61741667,9.012805556,793,2,Incomplete
BGS-012,10.61763889,9.013944444,798,2,3
BGS-013,10.61863889,9.014472222,793,2,3
BGS-014,10.61972222,9.015555556,794,2.4,Incomplete
BGS-015,10.62072222,9.015333333,792,2.6,4
BGS-016,10.62177778,9.014722222,793,2.5,4
BGS-017,10.62244444,9.014944444,792,2.5,4
BGS-018,10.62305556,9.013527778,791,2.7,0
BGS-019,10.62213889,9.015805556,792,2.93,4
BGS-020,10.62125,9.016777778,792,2.7,4
BGS-021,10.62455556,9.01325,791,2,4
BGS-022,10.62672222,9.01175,791,2.5,4
BGS-023,10.62933333,9.011305556,788,2.7,3
BGS-024,10.63077778,9.0105,790,2.9,4
BGS-025,10.63227778,9.01225,787,2.8,4
BGS-026,10.63447222,9.012416667,786,2,4
BGS-027,10.63658333,9.012944444,787,2.85,4
BGS-028,10.64027778,9.012527778,784,2.8,4
BGS-029,10.64180556,9.012972222,778,3.1,4
BGS-030,10.64288889,9.012611111,777,3.05,4
BGS-031,10.64394444,9.011972222,777,2.6,4
BGS-032,10.61302778,9.00575,804,2.8,4
BGS-033,10.60830556,8.998666667,808,2.6,Incomplete
